Time_PC,Time_Dev,Target,Yaw,Rate,Servo_Angle,Servo_PWM
1768639984.7167199,0,0.0,-0.01,-0.2,90.0,307.0
1768639984.7192256,20,0.0,-0.01,-0.08,90.0,307.0
1768639984.7201052,40,0.0,-0.01,-0.01,90.0,307.0
1768639984.7209356,60,0.0,-0.01,-0.01,90.0,307.0
1768639984.7216551,80,0.0,-0.01,-0.08,90.0,307.0
1768639984.7225783,100,0.0,-0.01,-0.12,90.0,307.0
1768639984.7237244,120,0.0,-0.01,-0.15,90.0,307.0
1768639984.724219,140,0.0,-0.01,-0.15,90.0,307.0
1768639984.7361815,160,0.0,-0.01,-0.01,90.0,307.0
1768639984.738486,180,0.0,-0.02,-0.08,90.0,307.0
1768639984.7541263,200,0.0,-0.02,-0.01,90.0,307.0
1768639984.7576206,220,0.0,-0.02,-0.08,89.0,305.0
1768639984.7652647,240,0.0,-0.02,-0.11,90.0,307.0
1768639984.7680748,260,0.0,-0.02,-0.01,90.0,307.0
1768639984.7811606,280,0.0,-0.02,-0.01,90.0,307.0
1768639984.7949445,300,0.0,-0.02,-0.08,90.0,307.0
1768639984.7992709,320,0.0,-0.02,0.02,90.0,307.0
1768639984.8074124,340,0.0,-0.02,-0.01,90.0,307.0
1768639984.8117597,360,0.0,-0.02,-0.04,90.0,307.0
1768639984.8135445,380,0.0,-0.02,0.04,90.0,307.0
1768639984.8228176,400,0.0,-0.02,-0.08,90.0,307.0
1768639984.8265963,420,0.0,-0.02,-0.01,90.0,307.0
1768639984.8349488,440,0.0,-0.02,-0.06,90.0,307.0
1768639984.8439443,460,0.0,-0.02,-0.08,90.0,307.0
1768639984.855418,480,0.0,-0.02,-0.08,90.0,307.0
1768639984.8608563,500,0.0,-0.02,-0.08,90.0,307.0
1768639984.8650439,520,0.0,-0.02,-0.08,90.0,307.0
1768639984.8719149,540,0.0,-0.02,0.06,90.0,307.0
1768639984.881681,560,0.0,-0.02,-0.01,90.0,307.0
1768639984.8859067,580,0.0,-0.02,0.06,90.0,307.0
1768639984.891773,600,0.0,-0.02,-0.03,90.0,307.0
1768639984.894033,620,0.0,-0.02,0.06,90.0,307.0
1768639984.8945932,640,0.0,-0.02,-0.04,90.0,307.0
1768639984.8951173,660,0.0,-0.02,-0.01,90.0,307.0
1768639984.8955758,680,0.0,-0.02,0.02,90.0,307.0
1768639984.8960257,700,0.0,-0.02,-0.08,90.0,307.0
1768639984.916901,720,0.0,-0.02,-0.01,90.0,307.0
1768639984.9327378,740,0.0,-0.02,-0.08,90.0,307.0
1768639984.97119,760,0.0,-0.02,0.06,90.0,307.0
1768639984.9792678,780,0.0,-0.02,-0.15,90.0,307.0
1768639984.987043,800,0.0,-0.02,0.06,90.0,307.0
1768639985.0124142,820,0.0,-0.02,-0.01,90.0,307.0
1768639985.0209365,840,0.0,-0.02,-0.08,90.0,307.0
1768639985.0466473,860,0.0,-0.02,-0.04,90.0,307.0
1768639985.0498767,880,0.0,-0.03,-0.01,90.0,307.0
1768639985.08424,900,0.0,-0.03,-0.08,90.0,307.0
1768639985.115536,920,0.0,-0.03,-0.04,90.0,307.0
1768639985.1240988,940,0.0,-0.03,-0.01,90.0,307.0
1768639985.1517825,960,0.0,-0.03,0.06,90.0,307.0
1768639985.1783693,980,0.0,-0.03,0.04,90.0,307.0
1768639985.1985948,1000,0.0,-0.03,-0.08,91.0,309.0
1768639985.21187,1020,0.0,-0.03,-0.01,90.0,307.0
1768639985.229756,1040,0.0,-0.03,-0.06,91.0,309.0
1768639985.2648833,1060,0.0,-0.03,-0.15,90.0,307.0
1768639985.2739103,1080,0.0,-0.03,-0.08,90.0,307.0
1768639985.2972503,1100,0.0,-0.03,0.02,90.0,307.0
1768639985.3047888,1120,0.0,-0.03,0.02,90.0,307.0
1768639985.3369205,1140,0.0,-0.03,-0.01,90.0,307.0
1768639985.3635826,1160,0.0,-0.03,-0.01,90.0,307.0
1768639985.3690321,1180,0.0,-0.03,-0.04,90.0,307.0
1768639985.4039118,1200,0.0,-0.03,-0.08,90.0,307.0
1768639985.4100404,1220,0.0,-0.03,0.06,90.0,307.0
1768639985.4374423,1240,0.0,-0.03,-0.01,90.0,307.0
1768639985.4581637,1260,0.0,-0.03,-0.15,90.0,307.0
1768639985.4652648,1280,0.0,-0.04,0.06,90.0,307.0
1768639985.4977767,1300,0.0,-0.04,-0.08,90.0,307.0
1768639985.5197222,1320,0.0,-0.04,-0.08,90.0,307.0
1768639985.5446925,1340,0.0,-0.04,-0.08,90.0,307.0
1768639985.55083,1360,0.0,-0.04,-0.03,90.0,307.0
1768639985.5844636,1380,0.0,-0.04,-0.08,90.0,307.0
1768639985.593568,1400,0.0,-0.04,0.06,90.0,307.0
1768639985.6156173,1420,0.0,-0.04,-0.01,90.0,307.0
1768639985.624456,1440,0.0,-0.04,-0.08,90.0,307.0
1768639985.6585798,1460,0.0,-0.04,-0.01,90.0,307.0
1768639985.6815064,1480,0.0,-0.04,-0.08,90.0,307.0
1768639985.6954699,1500,0.0,-0.04,0.03,90.0,307.0
1768639985.7206354,1520,0.0,-0.04,-0.04,90.0,307.0
1768639985.7341084,1540,0.0,-0.04,0.13,90.0,307.0
1768639985.7635188,1560,0.0,-0.04,-0.08,90.0,307.0
1768639985.7701545,1580,0.0,-0.04,-0.03,90.0,307.0
