time_s,target_deg,measured_deg,error_deg
4.498,0.00,18.00,-18.00
45.000,0.00,1.18,-1.18
45.020,0.00,1.18,-1.18
45.040,0.00,1.18,-1.18
45.060,0.00,1.18,-1.18
45.080,0.00,1.18,-1.18
45.100,0.00,1.18,-1.18
45.120,0.00,1.18,-1.18
45.140,0.00,1.19,-1.19
45.160,0.00,1.19,-1.19
45.180,0.00,1.19,-1.19
45.200,0.00,1.19,-1.19
45.220,0.00,1.19,-1.19
45.240,0.00,1.19,-1.19
45.260,0.00,1.19,-1.19
45.300,0.00,1.19,-1.19
45.320,0.00,1.20,-1.20
45.340,0.00,1.20,-1.20
45.360,0.00,1.20,-1.20
45.380,0.00,1.20,-1.20
45.920,0.00,1.24,-1.24
45.960,0.00,1.25,-1.25
46.000,0.00,1.25,-1.25
46.040,0.00,1.25,-1.25
46.080,0.00,1.24,-1.24
46.120,0.00,1.24,-1.24
46.140,0.00,1.24,-1.24
46.160,0.00,1.24,-1.24
46.180,0.00,1.24,-1.24
46.200,0.00,1.24,-1.24
46.220,0.00,1.24,-1.24
46.240,0.00,1.24,-1.24
46.260,0.00,1.24,-1.24
46.280,0.00,1.24,-1.24
46.300,0.00,1.24,-1.24
46.320,0.00,1.24,-1.24
46.340,0.00,1.24,-1.24
46.360,0.00,1.24,-1.24
46.380,0.00,1.24,-1.24
46.400,0.00,1.23,-1.23
46.420,0.00,1.23,-1.23
46.440,0.00,1.23,-1.23
46.460,0.00,1.23,-1.23
46.480,0.00,1.23,-1.23
46.500,0.00,1.23,-1.23
46.520,0.00,1.23,-1.23
46.540,0.00,1.22,-1.22
46.560,0.00,1.22,-1.22
46.580,0.00,1.22,-1.22
46.600,0.00,1.22,-1.22
46.620,0.00,1.21,-1.21
46.640,0.00,1.21,-1.21
46.660,0.00,1.21,-1.21
46.680,0.00,1.21,-1.21
46.700,0.00,1.20,-1.20
46.720,0.00,1.20,-1.20
46.740,0.00,1.20,-1.20
46.760,0.00,1.19,-1.19
46.780,0.00,1.19,-1.19
46.800,0.00,1.19,-1.19
46.820,0.00,1.18,-1.18
46.840,0.00,1.18,-1.18
46.860,0.00,1.18,-1.18
46.880,0.00,1.17,-1.17
46.900,0.00,1.17,-1.17
46.920,0.00,1.17,-1.17
46.940,0.00,1.17,-1.17
46.960,0.00,1.16,-1.16
46.980,0.00,1.16,-1.16
47.000,0.00,1.16,-1.16
47.020,0.00,1.15,-1.15
47.040,0.00,1.15,-1.15
47.060,0.00,1.15,-1.15
47.080,0.00,1.15,-1.15
47.100,0.00,1.14,-1.14
47.120,0.00,1.14,-1.14
47.140,0.00,1.14,-1.14
47.160,0.00,1.13,-1.13
47.180,0.00,1.13,-1.13
47.200,0.00,1.13,-1.13
47.220,0.00,1.13,-1.13
47.240,0.00,1.12,-1.12
47.260,0.00,1.12,-1.12
47.280,0.00,1.12,-1.12
47.300,0.00,1.11,-1.11
47.320,0.00,1.11,-1.11
47.340,0.00,1.11,-1.11
47.380,0.00,1.10,-1.10
47.400,0.00,1.10,-1.10
47.420,0.00,1.09,-1.09
47.440,0.00,1.09,-1.09
47.460,0.00,1.09,-1.09
47.480,0.00,1.08,-1.08
47.500,0.00,1.08,-1.08
47.520,0.00,1.07,-1.07
47.540,0.00,1.07,-1.07
47.560,0.00,1.06,-1.06
47.580,0.00,1.06,-1.06
47.600,0.00,1.06,-1.06
47.620,0.00,1.05,-1.05
47.640,0.00,1.05,-1.05
47.660,0.00,1.04,-1.04
47.680,0.00,1.04,-1.04
47.700,0.00,1.03,-1.03
47.720,0.00,1.03,-1.03
47.740,0.00,1.03,-1.03
47.760,0.00,1.02,-1.02
47.780,0.00,1.02,-1.02
47.800,0.00,1.01,-1.01
47.820,0.00,1.01,-1.01
47.840,0.00,1.01,-1.01
47.860,0.00,1.00,-1.00
47.880,0.00,1.00,-1.00
47.900,0.00,0.99,-0.99
47.920,0.00,0.99,-0.99
47.940,0.00,0.99,-0.99
47.960,0.00,0.98,-0.98
47.980,0.00,0.98,-0.98
48.000,0.00,0.98,-0.98
48.020,0.00,0.97,-0.97
48.040,0.00,0.97,-0.97
48.060,0.00,0.96,-0.96
48.080,0.00,0.96,-0.96
48.100,0.00,0.96,-0.96
48.120,0.00,0.95,-0.95
48.140,0.00,0.95,-0.95
48.160,0.00,0.95,-0.95
48.180,0.00,0.94,-0.94
48.200,0.00,0.94,-0.94
48.220,0.00,0.93,-0.93
48.240,0.00,0.93,-0.93
48.260,0.00,0.93,-0.93
48.280,0.00,0.92,-0.92
48.300,0.00,0.92,-0.92
48.320,0.00,0.91,-0.91
48.340,0.00,0.91,-0.91
48.360,0.00,0.91,-0.91
48.380,0.00,0.90,-0.90
48.400,0.00,0.90,-0.90
48.420,0.00,0.89,-0.89
48.440,0.00,0.89,-0.89
48.460,0.00,0.89,-0.89
48.480,0.00,0.88,-0.88
48.500,0.00,0.88,-0.88
48.520,0.00,0.87,-0.87
48.540,0.00,0.87,-0.87
48.580,0.00,0.86,-0.86
48.620,0.00,0.85,-0.85
48.660,0.00,0.84,-0.84
